start	end	text
960	6560	too many emoji guys you are blocking everything how many people connected crazy
8640	14880	let me see from settings can you hear me let me remove this oh oh
17360	18320	now it's amazing
18320	34720	okay let me see the chat how are you guys how are you how many of you saw my content
34720	39200	live trading live charting somewhere while you are here
39200	48880	let me see if i can directly share it seems to work fine seems to work fine it's the first
48880	58960	time for me using this platform but seems to work fine let me see can you see my screen
65360	66320	should be visible
69440	78480	should be visible so i have the chat here i have perfect i have welcome to blood sweat and scalps
78480	87840	amazing amazing let's wait some minutes that everyone connect so just to clarify for everyone
89280	92320	this is not for beginners
92320	104640	point one so if some friends of you told that you should study from me you don't know
104640	112400	anything about trading you don't even know what is a candle this is not for you okay if you are already
112400	120960	studying order flow if you know if you saw at least my video on youtube you know what i'm doing you know
121520	127840	what i explain in terms of order flow even if you don't know my model this is still for you
129040	138720	and if you are in the process of being a break-even trader and wants to get a stable long equity line
138720	141040	this is for you is it clear guys one in chat
143600	146000	amazing we have already 256
146000	155280	what an amazing community then guys also you have to know that at the moment on youtube
156160	164240	on instagram on cumulative audience we have more than 200 000 followers
164240	177200	okay this community aims to be maximum one percent of the total follower okay so
178560	184480	the mission that i'm trying to achieve and the reason i opened this community is because i wanted a
184480	193600	pack of soldiers that are really committed that see trading not only as an hobby but want really to
193600	200320	become killers in this market and i know that out of all these people the people that will really
200320	207520	make it and will make a living out of it and will become professional it's around two three four percent
207520	219280	okay i'm shooting for an even smaller number one percent and my role here is not to be soft with you
219280	227440	my role here is not to tell you what trading is not that it will be easy my role here is
228880	237440	war general okay i will treat you like soldiers i will be rude sometimes with you but i will equip you
237440	244960	with the best mindset model risk management model and trading models that you will ever find on the
244960	253040	internet is it clear guys perfect
255920	267280	perfect loud and clear amazing now let's go on what will blood sweat and scalps be how we will build it
268080	277040	and how this is structure for everyone okay as you saw there is the section battleground
278640	290000	operation okay this section here is the section where you will find all kind of announcement from the team
290800	300640	okay so you will receive information from me about when we go live the topic of the week the menu of the week
300640	311920	what you can expect uh also that section will be used to go through the battleground setup preparation
311920	318720	of the week okay because we will use the profile to understand
321760	332080	who is dominating the volume of the week and of the single session okay so you will receive update on me on
332080	340720	how i manage also the uh planning for the week you will receive the news related to my view
340720	351040	the fundamentals of asset managers so i will give you a breakdown on the indices
354560	362800	related to commitment of traders non-commercial so the speculators to build the narrative
362800	372880	and then i will update you on what was not planned to be okay that i kept because i only want people
372880	380800	that are really interested and to make them some surprise makes me happier that promise up front and
380800	387760	then not give a service that change really their view of the market okay so at the moment i'm building
387760	402080	a chat bot okay that where i input around 50 hours of my time that is capable to be your assistant
403520	411760	okay so i will not be there with you every single time when you are trading i will be here with you two
411760	420880	two times per week but what i can do is transfer my mindset model in the chat bot okay in the artificial
420880	428240	intelligence transfer exactly my risk management model in the artificial intelligence to give you an
428240	436320	opportunity every time that you are on the charts by yourself to implement it and study and reason as i
436320	441520	as if i was there with you what do you think fabio about this setup how much should i risk i took three
441520	449440	stop loss for the day how can i improve it okay today is getting difficult the market i cannot manage it
449440	455840	what should i do stop and i will apply the exactly months mindset model that i use for my trading okay
456480	462560	this one will be available for all users okay and will be ready before the end of the month
464160	470240	then another thing that we will have here is the following we will have
472720	479920	the battlefield that was a chat that was not planned to be because it should be a communication with
479920	485120	me and you the battlefield it's a chat between
487760	499280	these one percent members okay where i will review every evening and make sure that people that are in
499280	506000	the battlefield so the chat where there is execution where there is setups where they can go through are
506000	512560	people that are profitable and are people that can really give back to the community okay so if you
512560	519200	are really willing to study but you are in the process you are not profitable you will be able to see the
519200	526000	battlefield chart but you will not be able to participate in the battlefield chart because you can give in
526000	532880	sites that are not good for the community because you are still in the process of getting profitable okay
533600	539360	the battlefield chat will be available for everyone but will be open only for certain people that i select
540000	549440	okay is it clear guys one one in chat don't get offense it's to give you the best quality service you can have around
550560	558080	perfect after this you have what is called now files i will update to resources
558080	566320	resources and resources it's the access every week to the best
569280	581840	bank report and research paper that i study okay so in the weekend as a professional i spend at least one
581840	589680	or two hours researching the most important view of the biggest bank in the world so goldman sachs morgan
589680	598000	stallley what are they doing what's their view for the next quarter on indices okay what's their view on
598000	606240	the logic related to behavior of the market are they waiting for a news to unlock or are they already with a clear
606240	612880	buys why because in this way you can apply your model following the fundamentals so if you already
612880	620720	know that in three days there is the cpi and the market is in compression maybe it's not the best thing
620720	629120	to do to go trend following okay so i'm giving you the opportunity to see what i see and know what i know from
629120	636240	the point of view of indices so nasdaq okay followed by the best banks in the world we will cover the top five
636240	643280	banks in the world other than that i know that i did more than two thousand and three hundred execution
643280	650000	in the most famous audit world cup of the world that you saw me live trading for a huge amount of
650000	656320	months that you are joining this live charting program so we will see set up together we will commend them
