start	end	text
0	12240	hello beautiful people give me one in chat you can hear me how is it going
14560	21840	amazing today we have a lot of topic to go through a little bit of live charting here is luca
24320	27360	let me check if i can share screen to you
30000	33760	let's go directly in action
37120	38400	can you see my screen guys
41600	48000	nobody says already made 100 points in nasdaq amazing what's happening here what do you see
48000	59280	from this auction the opening
60000	71520	we see an absorption amazing long you took luca amazing long there was a small long from here
72640	81200	there was a small long from here i don't know if it's visible i loaded five contract here
82160	94400	and reloaded here took out here i did market opening scalp amazing one and we are now in a consolidation
94400	101920	phase the reason i decided to take it out is because i see this absorption it is super strong
101920	114880	and i see this lock in of the sellers okay so now i have a condition where the sellers are pushing
115680	124320	even if we are we are in um an uptrend okay up direction so we have two gameplay for today we have
124320	130640	the breakout and test of this level but they need to accept it okay i know that i wanted to do theory
130640	137840	but it's immediately presenting a setup no it's not bad there it's bad the quality i'm streaming full hd guys
139680	144720	i can see clearly is it better the quality of the video i think it's good
147760	154800	quality is good okay now as you can see the buyers are trying to get aggressive on this level so it can be a
154800	162880	situation where we can load some risk on the way up and try to have an extension on this squeeze
162880	167840	that we can have here okay now we have multiple setup anticipation of the squeeze
168400	174320	and uh trapped sellers as you can see these sellers are not rewarded i see people already making money
175680	180400	wakas fabio i made nine thousand dollars yesterday my best day i've ever thank you for
180400	185600	this session thank you guys it's beautiful to see look here look here look here look here look here
186880	192720	okay this is something that we can capitalize on this is something that we can capitalize on they
192720	201200	already locked the aggression now let's see if they can hold it or if it's an absorption the direction for
201200	208480	the day seems long guys already from the opening now i'm watching the chart i feel good now arslan
208480	214720	i feel good ready to go ready to go now we want to see how it follow through on this one
219920	220960	let's see how it goes
223200	231120	no now i'm trading so it's low size because i don't feel really good guys so i took uh only 10 contract long
231120	239360	that for a lot of people it's enough money and uh only made the six thousand i don't even remember
239360	245520	yeah five thousand and eight hundred nothing incredible but still uh ah there is one guy that
245520	253840	told me that it's a demo account so i just want to show you something okay this is my account that we
253840	258320	have here and as you can see i just want to show you that
261440	267360	it's directly connected just to show you i don't want to open a position okay when you open here you
267360	271920	get the feel in interactive so it's directly reflected here it's not a demo account it's a
271920	274320	real account i only trade the real account okay
274320	284080	now what happened here we can see that the buyers broke out this level and we have a sellers that caught
284080	292320	absorbed now they are reloading okay now they are reloading so it can have sense okay that all this
292320	300240	stack of sellers get tested back okay so we have a deep retracement on this one that's the reason this
300240	305040	one for me it's a really stupid trade i just wanted to show you that it's connected let's close this as
305040	312320	soon as possible and we have a potential test of the single level okay we got we got filled just
312320	318320	demonstration purpose guys it's not a financial consultants and stuff and it's only for educational
318320	324080	purpose now they test this level they are not loading back this one so one trade that you can have
324080	329920	is the deep retracement here okay and we want to understand where we can have a deep retracement
329920	338720	lag andrea says doesn't seems lagging to me guys it's only andrea experiencing lag because i have an
338720	340720	amazing connection guys it's really stable
343520	349680	now can you see what's happening here we have an absorption a huge up can you see this absorption guys
349680	357040	it's enough the quality of the video to see this small line okay so this one is the most important
357040	361920	level that we have now because we have a huge also at the top we have absorption of the sellers but
361920	369120	here i think it can be the reload point let me draft the area for you okay this can be a reload point of
369120	380320	the buyers okay okay this can be a real point of the buyers where they continue to to go up from this move
380320	389120	let's see how they behave let's see also the target that we can have so
391680	395760	the profile framing as you saw yesterday is long and also today it's long
397040	406480	the first sensitive level that we can have is the round 26 100 this is a level that can become a target
406480	411200	of today of this explosion and this is another one to three risk to reward that you can take as you
411200	420320	can see the market is getting absorbed is continuing to get absorbed okay is the closest round number is
420320	427920	the 26 1000 100 sorry then you have the 26 200 this is levels where they put options
427920	432720	so it's level that where you usually see a little bit of rejection
433760	438880	this is price discovery yeah because we don't have price action of the morning here so this is new
438880	442080	level and price discovery we can also mark the previous
443680	450800	level of protection of the sellers that it's where the sellers try to capitalize on and they got
450800	456800	completely absorbed i pick same take profit level based off cash session i in previous weeks amazing
459120	468160	amazing guys i know it's only i know it's only one week that we are making lives and we already
468160	476320	flooded the platform with incredible value but how many of you how many of you are having results with
476320	482640	these methods one in chat how many of you are making money even if you are just starting the chat is crazy
484560	492400	so the the method it's easy guys the method it's easy okay it's not difficult now um ricky i think
492400	499200	asked when we can we open a trade so in this situation ricky they are deciding okay so you see
499200	504800	the ups the previous absorption okay this will be my premium level this will be a level where i'm interested
504800	510080	you can see that the sellers are getting absorbed on this horizontal level but they are still pushing
510080	520880	okay so the levels that i would consider here it's this absorption level if we get a break so you have
520880	532800	either the squeeze okay that can be an easy one to two risk to reward okay or we can wait for deep
532800	540000	retracement okay and we can have a proper high risk to reward trade this is based on your decision let's
540000	550000	see how it behaves so first of all we want to see the breakout of this level okay you remember the
550000	556240	setup that we took the other time where there is absorption from the sellers okay then there is
557200	560080	aggressive buyers and we capitalize on the runner
564480	571840	i will show you something i will show you something i think we can go here guys i think we can go here
571840	585040	just wait for the market to get deep discounts
589200	593920	i have a question for the profile framing we go later to the profile framing now we are just charting
593920	604000	what can you notice in this area you know what you do in this case
607120	616080	what you do in this case to understand what's happening we go on the cvd the cvd is the proxy of the
616080	621200	pressure you see all these sellers in all this area they are pushing they are making a lower low
621200	625920	so what do you see from price there is a follow-up or there is an absorption
627840	632160	is this being follow-up or the sellers are being completely crushed here
634800	638240	the sellers are being crushed here okay so what does it mean
639840	644000	this level it's a reload level okay so probably we will not go here anymore
644000	657600	target target we see it's here it's a big risk to reward trade let's see how it behave we have a floor
658080	663680	this is the protection floor i can think also about scalping a little bit guys this is not
664480	665520	a difficult trade
673280	674400	look how much is beautiful
677120	683360	look how much is beautiful okay they broke this range and now they are fighting against
683360	688080	against the top range sellers okay you know what's funny that when you long here
688080	695040	here at the breakout okay when you long here you have a protection point that it's on this level
695040	701200	for the break even so it's really close so you go risk free pretty fast and then you have a run up
702560	709200	that is one two three point eleven okay they just tested the level let's see how they behave
709200	713760	see how they behave
717520	718560	this is our feeling
720560	725760	now i cannot manage position and also watch the chat but this is something nice
728960	730160	no i didn't took position
733040	735600	didn't took position i'm replying to your question
735600	740800	for me the big trades it's easier
744160	749520	for me the big trades it's easier yes they can still go they can still go in the retracement
749520	753280	okay they can still go in the retracement but till this level hold
753280	759040	till this level hold we have we have a long bias for the day they can still go in the retracement and
759040	764720	we can have a second shot if we take a stop loss here we can try a next one so it's it's not a big deal
766160	772320	i don't know why it's bringing this level around let's remove it okay let's observe how they do now
772320	779200	they are loading on the top range as you can see here on this area and you can see the interaction
779200	785680	so this was the interaction of the sellers here we don't have participation of aggression but you can
785680	792400	see this attempt to break that failed at the same time the attempt of the buyers failed so we are
792400	799040	in a balanced situation if we go in the profile okay and we mark here we can see that sellers are
799040	805760	protecting from here this is the top range so this is where also if we break we expect a squeeze see
805760	813120	this as the acceleration level and then we have a huge absorption of sellers at this cluster
813120	818160	so to refine additionally the area this is what's happening summarize for you all
821200	825440	yeah the risk to reward is the same okay you see what happens they reloaded exactly from the level i
825440	831600	told you now when they approach this level all these sellers are forced to close and this is what i call
831600	837200	squeeze okay this is what i call squeeze because when they accept and the candle close here all the
837200	844240	sellers will not hold the position when they are proved wrong when they are proved wrong okay so you
844240	849200	see this sudden movement and then you need to understand if there can be a follow-up or not in
849200	855840	this case they fail the auction the buyers okay they fail the auction so what you can do you can either
856480	865760	decide okay if i test this trade and i i test this level and i reject again i can go to zero for
865760	871760	example here you go risk free we had a really close risk free level you go risk free you don't want to
871760	878800	put risk in the market okay so you have the risk free on this white level guys i'm taking you by the
878800	884880	hand explaining all my mental process okay it doesn't get easier than this and remember that break even
884880	892160	it's a free attempt so you don't risk anything day one for vivek amazing
892160	898160	they are pushing back to the break even level
903600	909120	and they push to the break even okay so they took us out but look what happened can you understand what
909120	917760	we did now we use going to break even in a smart way we removed the risk from the market so fast how
917760	925040	many of you without this method would have taken a stop loss this is the best management method you
925040	932480	can apply okay because you save stop loss and if you can if you can transform a stop loss in a take
932480	938320	profit okay in a zero risk look what what the market is doing why and now you understand why my
938320	945360	break even point was so close because if i have a failed deduction here they will go back here
946800	954720	it's a logic okay if the buyers cannot push hard they will go to seek passive orders liquidity below
954720	963760	this level with a with a big probability okay so now all these buyers early buyers will be run through
963760	968000	okay look what the market is doing bam okay you will have lost money on this one
969760	973680	because it's so important to have a guide in the position management
978160	984960	failed auction guys it's when they attempt to buy so you have big trades on the top but the price
