start	end	text
0	8920	Hi guys, I shoot a lot of trades today for you and I will now do the voiceover for the
8920	14640	Blood Sweat & Sculpt community, it will be an amazing content, I can guarantee you.
14640	21200	The last short spoiler, I took this absorption, will be floating 20,000, 30,000, no, 20,000
21200	26560	but I closed because now it's almost market closing so I would expect volatility to melt,
26560	34880	I close here and then another leg down, let's start with the first one, this one got recorded
34880	42640	without audio because I couldn't concentrate explaining and trading, so let me start from
42640	47520	the explanation, this one is the long-term value area high, this one is a crazy absorption,
47520	52160	this one is a crazy absorption and this one is where the sellers took complete control,
52400	56960	absorbed, failed auction, failed auction, failed auction, failed auction, so I marked this area,
56960	64160	okay, I was short biased today for the caught report and the data that I explained to you
64160	71520	and we started aggressively on the short side so I reconfirm my idea for the short and I was trying
71520	76560	to take the control of the seller, the explosion, because as you can see they were compressed,
76560	86480	so to take a 2,500 initial risk to make 30,000 on this one, I will go on and I will stop to
86480	90720	explain, let me see if there is something interesting here to explain other than the area
91600	98720	and the short I was expecting an acceleration down, I put now the NASDAQ profile area,
98720	103840	the NASDAQ effort area, so I have an area that is interesting, a failed auction value area high
103840	110000	and they see two cluster of NASDAQ effort, okay, so the initial stop loss was above the area
110000	115760	and then I printed the second one, so I put stop loss in profit and then it exploded in a crazy way
115760	120640	and now the last target is on the value area low, the bottom of the value area low,
121520	127200	but today was a really compressed day, we had some spark of directional but not a lot,
127200	132560	so now I want to show you how we start managing the trades as I do live with the NASDAQ effort,
132560	138320	so one area of control, I was waiting for the market to retrace to fill the area to put my
138320	148560	stop loss in profit, we do this and I start to put 7,900 and it's already almost 1 to 3.4 for our
150720	156000	in profit, another area we print here, so I'm covered above the area, I'm waiting for the
156000	163680	breakout of this area to put even more stop in profit, they manage to break out the area
163680	169520	to do one squeeze, I'm waiting for something to put my stop loss in profit here, it didn't
169520	174320	got tested, it got tested but we don't have a rejection, so now I'm waiting for a confirmation
174320	181280	of where to put 16,000 dollars of stop in profit and on this one unfortunately I don't get the
181280	188160	full profit target, I get 16,000 dollars with a total risk of 2,500, first position of the day,
188160	194400	I think I didn't manage to record two break even and one stop loss, but the majority of the most
194400	202640	interesting volatility I recorded, this one was a short, the reason is that we had an aggression
202640	207840	on the bottom side, so I can see that the sellers are really aggressive here and I'm trying to
207840	214400	capitalize on the short momentum of the market as you can see and this one if I'm not wrong it's a
215120	221760	kick on the face, it's a stop loss, if I'm not wrong the market accelerate and I lose 2,600,
221760	226080	to be honest 2,700 on this one because I get also a little bit of slippage,
227280	232240	you can always see the feeling of interactive brokers on the right when I get liquidated to
232240	240720	enjoy some pain than contracts NASDAQ, this one was the second one and was a stop loss unfortunately
240720	247120	was a reload, then we have one amazing short cluster of two areas, I shorted late guys,
247120	252080	this one I could have made a crazy risk to reward, I should have shorted at the second area on the
252080	259840	test, I shorted late, I shorted here and the initial risk was 2,500, then when we have a second
259840	265520	area I start to manage, the full profit target guys I was too generous with the profit target
265520	270960	in a choppy day because today we had some volatility but still compression, stop loss in profit
273360	280720	34,000 full profit on the position, the risk in 2,500 is crazy, the second victory was
280720	289760	risk to reward trade, I'm covered 17,000 above the aggression of the sellers and the absorption
289760	297040	of the buyers, I'm hoping that this area of the NASDAQ effort hold but I get a stop in profit here,
297040	308960	I put 18,600 on this one and I get stop in profit here, amazing position, one stop loss and two
309520	315040	high risk to reward profits, then I tried this short, this short is super easy to understand,
315040	321440	it's momentum down, it's a crazy absorption of the buyer's reward of the seller, I was trying
321440	327600	to anticipate a squeeze down, I don't remember if this one it's profit or I think it's stop loss
327600	333360	absorption here, my error in management, I also want to show you my error, when you see this
333360	338160	you need to close, okay, when you see this you need to close because it's a failed auction,
338160	345200	I kept the position and I pay 2,450 plus 100 dollars of slippage and I deserved it because
345200	353760	I made one error, showing you also the painful part, okay, let's wait, I want to show you the
353760	367200	pain of the liquidation here, a little bit before, here, snap, bam, okay, three or four tick of
367200	376640	slippage, then let's go on, this one still momentum short, failed auction at the top,
377360	384080	a lot of fight here, so I was anticipating a squeeze, I was thinking this is the last setup
384080	390400	of the day because I needed to go out but then I had time so the appointment got cancelled
390400	396080	and I could continue to use my profit for the day to capitalize even more, the reason was this crazy
396080	402400	absorption of the buyers and you can see from the profile that I put later, I'm taking 1,500
402400	409520	dollars of risk to make 19 600 dollars, so more than 1 to 10 risk to reward, to be honest the
409520	415760	initial risk was 2,500 and if I'm not wrong I also give some breathing to the market because I was
415760	424000	afraid I can get weak out and then the setup it's amazing and still loading, if I'm not wrong this
424000	430640	one goes stopping profit really fast, I put myself stopping profit on this retracement,
430640	438560	here we go 240 dollars and then we have a collapse down, beautiful setup, the most beautiful of the
438560	445440	day, I was expecting a squeeze, the momentum was short, the bias on the fundamental was short,
445440	452080	I managed the position stopping profit 13 140 on the momentum side, long give the possibility
452080	457200	to the market to take all the profit back from me, 107 absorbed at the bottom,
460000	466240	gap, I love this gap, I usually wait for it to get recovered and then put stop loss in profit
466240	472320	and this one don't give me even the time because goes to full profit target for the day, it's the
472320	480640	first crazy risk to reward trade for the day, let's see this one, ah this one is amazing,
481280	487440	this one it's amazing, I took, let me explain for you, this one it's a value area high,
488720	495680	it's absorption of the buyers, reabsorption of the buyers, reabsorption of the buyers again,
496880	502880	domination of the sellers and test, I took a perfect test here 2500 initial risk reduced to
502880	509520	1920, profit target disabsorption of the sellers, was anticipating a squeeze here,
512480	517760	I don't remember this one if it goes all back, no this one is another full profit target,
518400	526320	should be and also continue, like this one could have been 25 000, full take profit,
526320	530080	look how much is beautiful, look at this beauty, absorption, absorption, absorption,
530080	537120	dominion of the sellers, absorption, this is textbook, okay, beautiful, then
542880	550640	let me check, this is an error, this is an error, this is a stupid error that I've made,
550640	559120	still when you get professional you take some discretionary decision that should be avoided,
559760	566240	this one could have been guys, okay, a squeeze short, but when you see 200 contract absorbed here,
566240	572080	you cannot still stay stopping breakeven, because this one was an additional 9 000
572080	579600	dollars of profit for the day, okay, and this one goes full back to breakeven or stopping profit,
579600	587280	I don't remember, I think stopping profit, yes, 1260 gets taken out,
591920	596480	this one was mismanagement, because this one should have been a full profit target
597200	599920	of 10 000, 9 000 dollars, I don't remember,
602560	607760	I was waiting for the big direction short, and now I show you something funny, because the big
607760	611920	direction short arrived at the closing, but I didn't manage to take it,
614400	619280	let me avoid the choppiness for you, so you only get the interesting part,
620080	627680	I think this live trading commentary pill of the volatility session, it's incredibly interesting
627680	632160	for you guys, oh, never take
638160	644320	absorption of the sellers, where is it, I want to show you all the filling of the position,
647440	652560	feel the suffering, read the message at the bottom, one, two, three,
652880	660960	nine contract close, in one, two, three, second,
666880	673520	um, closed, this one was a stop in profits, a stupid decision I took,
674240	680800	now it comes the masterpiece of the day, at the closing, guys, look how much is beautiful,
680800	688800	this setup, value area high, crazy absorption level, absorbed buyers, control of the sellers,
688800	692080	not even the time to put the position, 2000 risk already, one, two, three,
692720	695280	was really late, closing of the session, guys,
698080	704800	okay, the market start to consolidate here, I close for around 5000 or 6000, something like this,
704800	707920	okay, and now it went even more down, look,
709440	715200	this one could have been another $20,000 for the session, this was the commentary of the session,
715200	722320	guys, I think you can learn more than everything else by me recording myself when I have a high
722320	728000	volatility session, not directional, but high volatility, let me know what do you think,
728000	732480	and I think this one is amazing, it's an amazing learning opportunity for you all,
