start	end	text
0	11120	hello beautiful people how is it going sorry for my voice today i'm a little bit sick
13360	21200	i don't feel good but we don't care we need to go live we don't care guys
22880	27520	today i open my chart and the only thing i saw is this
30960	37920	without the rebound i saw this this is nasdaq today
39920	46000	crazy like not even opening the session because it started to collapse before can you see my screen
46000	58800	properly guys let me know so in days like this i can play the flip account but i don't touch the main
58800	68160	account the multi-million account because it's usually we will chart anyway guys we will chart
68160	74320	anyway but usually what you see is profit release and then you start like this for hours and hours
74320	83440	and hours now before i go to chart i want to tell you something first of all i'm proud of you i saw
83440	92320	crazy numbers crazy statistics in the um in the medal awards okay crazy statistic in the medal awards
93040	98960	second of all we have the skill now there is someone that took the short
101280	108000	data feed is having a slight delay let me check i don't think so let me check
108000	113280	no my data feed is working fine
117360	121920	my data feed is working fine guys it's real time there is no you can check
121920	128320	this is the candle of 30 432 european times it's live
130480	134640	an hour ago guys i noticed that recently big speed specifically
134640	141840	a little bit less rhythmic are having data issue under release of high
143520	149280	high moving news okay and i think it's because they are processing huge amount of data for
149280	155680	a huge amount of users and the data gets delayed from one or two seconds you know when i experienced this
156240	165360	i experienced this yesterday in the fomc i saw i saw the delay you see also luca is having a little bit
165360	172880	of delay okay now uh before going directly to the chart let me put this one here
175280	176640	i want to give a quick read
178720	179520	i have people
179520	187120	so publishing here something that in two weeks not even two weeks this is the second week
188000	195440	i was thinking was impossible that is for example claudio italian claudio ianello that 12 minutes ago
196160	206400	publish a total execution of 13 trades all green like 100 we rate it took 13 take profit and if you
206400	214160	see the metric the skew the winning trades on average 500 dollars and the losing trade it's 140
214160	222240	crazy numbers i saw the track record of jonas some of you and as you know as i promise after this live
224640	234240	we uh go out with the um battlefield chat okay that is not a video game but the battlefield child
234240	243120	chat is where i take the best people in the uh normal medal awards and i put them with uh the
243120	251920	possibility to speak in the in the battlefield chat okay now i think i have a really smart community
251920	258960	okay i think i have a smart community so what i would like to do is the following instead of restricting
259680	267600	people that are not yet at crazy profitability level or sustainable level of profits i think the
267600	273120	community is smart enough to not publish if you are not having results guys can you avoid for me
273120	280000	doing the work of blocking someone letting someone else talk and be honest and say look i am still
280000	285840	i have still problem i will not publish otherwise i can confuse other people okay so you have a team of
285840	293040	professional that will publish for you and you can compare this and then you can you can maybe
293680	300560	uh see leonardo did eight thousand and eight hundred dollars today on the short amazing okay this is
300560	307520	easier i think it's easier without yeah you can so for the question nobody i will do another
307520	317280	uh another section and for the other section it will be uh the uh q and a between the community
318240	324640	but the battlefield chat is to give you additional value of the community and i would like to have
324640	330400	people that talk that are profitable are people that are constant okay then of course we have drawdown
330400	334480	there are people that will have one month of drawdown people that will have two months of drawdowns one
334480	339520	one week is part of the game okay the important stuff is on the long run from the law we are talking
339520	346880	about quarters we are talking about years it's normal to have the bad day it's not guys but look at this
348800	351280	look at this 16 000 on the short
354000	360640	it's disgusting damien at the third lesson you should at least add the respect to wait
361360	365120	for the finish of the blood sweat and scalp at least
369200	376960	okay at least anyway let's go to the chart guys and let's understand how we can capitalize on this like
376960	381200	this so first of all if you have multiple accounts
381200	395520	and you notice that the market is giving you this specific condition three no retracement three or
